task,r2,rmse,mae
logp,0.984±0.001,0.225±0.009,0.154±0.008
pka_acidic,0.955±0.003,0.7±0.024,0.343±0.029
cl-plasma,0.938±0.004,1.223±0.039,0.613±0.043
logs,0.966±0.002,0.404±0.011,0.252±0.012
logvdss,0.95±0.005,0.138±0.006,0.071±0.008
pka_basic,0.949±0.003,0.701±0.02,0.343±0.03
t12,0.951±0.003,0.41±0.013,0.197±0.014
logd,0.967±0.003,0.228±0.009,0.159±0.009
mdck,0.922±0.004,0.152±0.004,0.078±0.007
caco2,0.933±0.004,0.166±0.005,0.102±0.005
ppb,0.951±0.003,6.077±0.187,3.238±0.236
cl-int,0.911±0.005,0.217±0.006,0.131±0.007
